stats_fluid.txt
Número de partículas por columna:
 Col  Num
   1   78
   2   78
   3   78
   4   78
   5   78
   6   78
   7   78
   8   78
   9   78
  10   78
  11   78
  12   78
  13   78
  14   78
  15   78
  16   78
  17   78
  18   78
  19   78
  20   78
  21   78
  22   78
  23   78
  24   78
  25   78
  26   78
  27   78
  28   78
  29   78
  30   78
  31   78
  32   78
  33   78
  34   78
  35   78
  36   78
  37   78
  38   78
  39   78
  40   78
  41   78
  42   78
  43   78
  44   78
  45   78
  46   78
  47   78
  48   78
  49   78
  50   78
  51   78
  52   78
  53   78
  54   78
  55   78
  56   78
  57   78
  58   78
  59   78
  60   78
  61   78
  62   78
  63   78
  64   78
  65   78
  66   78
  67   78
  68   78
  69   78
  70   78
  71   78
  72   78
  73   78
  74   78
  75   78
  76   78

Número de partículas por fila:
 Fil  Num
   1   76
   2   76
   3   76
   4   76
   5   76
   6   76
   7   76
   8   76
   9   76
  10   76
  11   76
  12   76
  13   76
  14   76
  15   76
  16   76
  17   76
  18   76
  19   76
  20   76
  21   76
  22   76
  23   76
  24   76
  25   76
  26   76
  27   76
  28   76
  29   76
  30   76
  31   76
  32   76
  33   76
  34   76
  35   76
  36   76
  37   76
  38   76
  39   76
  40   76
  41   76
  42   76
  43   76
  44   76
  45   76
  46   76
  47   76
  48   76
  49   76
  50   76
  51   76
  52   76
  53   76
  54   76
  55   76
  56   76
  57   76
  58   76
  59   76
  60   76
  61   76
  62   76
  63   76
  64   76
  65   76
  66   76
  67   76
  68   76
  69   76
  70   76
  71   76
  72   76
  73   76
  74   76
  75   76
  76   76
  77   76
  78   76
